subject,action,feature,group,means_shift,std_shift
subject_3,7,MAV,4,0.234037924738,0.102358094357
subject_3,7,ZC,4,-0.0095571933609,0.818129273793
subject_3,7,SSC,4,0.0349896079191,1.18366942267
subject_3,7,WL,4,0.179338666647,17.481784015
subject_4,1,MAV,1,0.144645685391,2.3439212336
subject_4,1,ZC,1,-0.020381613183,0.372328279247
subject_4,1,SSC,1,4.15397396844e-05,0.665133512359
subject_4,1,WL,1,0.126036276481,196.278195759
subject_4,1,MAV,2,-0.146697630619,2.93528858431
subject_4,1,ZC,2,0.0899565689468,0.347573799794
subject_4,1,SSC,2,-0.0162727418236,0.558645138817
subject_4,1,WL,2,-0.0827260937768,262.064503969
subject_4,1,MAV,3,0.0910417855341,1.06567600573
subject_4,1,ZC,3,-0.0040007385979,0.30632455925
subject_4,1,SSC,3,0.00497592520016,0.579948574399
subject_4,1,WL,3,0.0875823423119,300.594587624
subject_4,1,MAV,4,0.0910417855341,1.06567600573
subject_4,1,ZC,4,-0.0040007385979,0.30632455925
subject_4,1,SSC,4,0.00497592520016,0.579948574399
subject_4,1,WL,4,0.0875823423119,300.594587624
subject_4,2,MAV,1,0.227645421893,0.0670509168256
subject_4,2,ZC,1,-0.165287831782,0.45796309357
subject_4,2,SSC,1,0.0604935646128,1.24728416686
subject_4,2,WL,1,0.0459430944292,13.0182272492
subject_4,2,MAV,2,0.0606947897835,0.0470479481416
subject_4,2,ZC,2,-0.0247222591804,0.70800875459
subject_4,2,SSC,2,-0.00646058785375,0.794860172222
subject_4,2,WL,2,0.0258559673949,8.00818439478
subject_4,2,MAV,3,-0.142868853814,0.172928173429
subject_4,2,ZC,3,0.170977547367,0.558916232158
subject_4,2,SSC,3,-0.0188066358732,0.977829889769
subject_4,2,WL,3,-0.0117377919696,39.38419444
subject_4,2,MAV,4,-0.142868853814,0.172928173429
subject_4,2,ZC,4,0.170977547367,0.558916232158
subject_4,2,SSC,4,-0.0188066358732,0.977829889769
subject_4,2,WL,4,-0.0117377919696,39.38419444
subject_4,3,MAV,1,0.0613255099447,2.03109964599
subject_4,3,ZC,1,-0.0190362207569,0.385271366903
